时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2023-10-20 19:29:14:357	WT901BLE67(D57986C0DE95)	0.014	0.027	1.012	0.000	0.549	-0.549	0.38	-0.08	-0.56	-91.342	57.625	8.067	0.99985	0.01212	-0.00540	-0.00427	28.2	10080.1.3	100
2023-10-20 19:29:14:387	WT901BLE67(D57986C0DE95)	0.003	0.010	0.995	-0.610	0.183	-0.427	0.38	-0.04	-0.61	-91.342	57.625	8.067	0.99985	0.01212	-0.00540	-0.00427	28.2	10080.1.3	100
2023-10-20 19:29:14:446	WT901BLE67(D57986C0DE95)	0.010	0.023	1.009	0.793	-1.038	0.061	0.39	-0.07	-0.60	-91.342	57.625	8.067	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:477	WT901BLE67(D57986C0DE95)	0.020	0.042	1.008	-1.404	0.732	0.000	0.41	-0.07	-0.59	-91.342	57.625	8.067	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:504	WT901BLE67(D57986C0DE95)	0.003	0.021	1.001	0.122	-0.122	-0.244	0.36	-0.06	-0.61	-91.458	57.692	8.108	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:565	WT901BLE67(D57986C0DE95)	0.011	0.031	1.002	1.587	0.427	0.427	0.40	-0.05	-0.62	-91.458	57.692	8.108	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:594	WT901BLE67(D57986C0DE95)	0.008	0.026	1.007	0.793	0.000	-0.854	0.44	-0.04	-0.61	-91.458	57.692	8.108	0.99985	0.01233	-0.00531	-0.00516	28.2	10080.1.3	100
2023-10-20 19:29:14:627	WT901BLE67(D57986C0DE95)	0.020	0.020	1.011	0.610	0.366	0.183	0.47	-0.03	-0.64	-91.458	57.692	8.108	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:685	WT901BLE67(D57986C0DE95)	0.002	0.022	1.004	-0.244	0.732	-1.770	0.48	-0.01	-0.65	-91.458	57.692	8.108	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:717	WT901BLE67(D57986C0DE95)	0.009	0.016	1.010	1.404	-0.732	0.732	0.50	0.00	-0.70	-91.658	57.875	7.992	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:806	WT901BLE67(D57986C0DE95)	0.008	0.035	1.010	0.122	0.305	-0.671	0.55	-0.01	-0.66	-91.658	57.875	7.992	0.99985	0.01285	-0.00519	-0.00525	28.2	10080.1.3	100
2023-10-20 19:29:14:807	WT901BLE67(D57986C0DE95)	0.020	0.023	1.013	-1.038	0.793	-0.854	0.52	0.01	-0.72	-91.658	57.875	7.992	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:838	WT901BLE67(D57986C0DE95)	0.008	0.038	0.993	0.000	-0.305	-0.305	0.49	0.02	-0.73	-91.658	57.875	7.992	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:895	WT901BLE67(D57986C0DE95)	0.011	0.023	1.012	-0.183	-0.122	-0.488	0.49	0.00	-0.75	-91.658	57.875	7.992	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:927	WT901BLE67(D57986C0DE95)	0.010	0.030	1.007	0.854	1.038	0.305	0.50	0.02	-0.75	-91.542	57.642	8.133	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:14:955	WT901BLE67(D57986C0DE95)	0.009	0.028	1.011	0.061	-1.038	-1.099	0.53	0.02	-0.77	-91.542	57.642	8.133	0.99982	0.01376	-0.00494	-0.00577	28.2	10080.1.3	100
2023-10-20 19:29:15:16	WT901BLE67(D57986C0DE95)	0.018	0.025	1.011	0.000	0.305	-0.488	0.53	0.00	-0.80	-91.542	57.642	8.133	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:44	WT901BLE67(D57986C0DE95)	0.005	0.031	1.001	0.610	-1.953	-0.244	0.54	-0.02	-0.81	-91.542	57.642	8.133	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:75	WT901BLE67(D57986C0DE95)	0.018	0.031	1.015	-0.793	0.916	-0.610	0.54	-0.06	-0.83	-91.542	57.642	8.133	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:137	WT901BLE67(D57986C0DE95)	0.007	0.026	1.001	0.427	-1.526	-0.305	0.52	-0.05	-0.87	-91.525	57.675	8.192	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:167	WT901BLE67(D57986C0DE95)	0.019	0.027	1.015	-0.549	0.122	-0.183	0.53	-0.11	-0.87	-91.525	57.675	8.192	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:197	WT901BLE67(D57986C0DE95)	0.003	0.042	1.009	-0.854	0.244	-0.549	0.49	-0.08	-0.89	-91.525	57.675	8.192	0.99982	0.01355	-0.00488	-0.00687	28.2	10080.1.3	100
2023-10-20 19:29:15:255	WT901BLE67(D57986C0DE95)	0.011	0.013	1.008	0.732	-0.549	1.099	0.51	-0.11	-0.90	-91.525	57.675	8.192	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:284	WT901BLE67(D57986C0DE95)	0.004	0.020	1.010	0.427	-0.427	0.305	0.55	-0.13	-0.86	-91.525	57.675	8.192	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:348	WT901BLE67(D57986C0DE95)	0.025	0.033	1.011	-1.953	0.366	-1.160	0.55	-0.14	-0.86	-91.442	57.675	8.142	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:376	WT901BLE67(D57986C0DE95)	-0.003	0.027	0.994	0.488	-0.488	0.366	0.50	-0.12	-0.88	-91.442	57.675	8.142	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:406	WT901BLE67(D57986C0DE95)	0.013	0.034	1.013	0.244	-1.953	-0.366	0.54	-0.18	-0.88	-91.442	57.675	8.142	0.99982	0.01324	-0.00565	-0.00766	28.2	10080.1.3	100
2023-10-20 19:29:15:436	WT901BLE67(D57986C0DE95)	0.008	0.024	1.009	-0.977	1.221	-0.549	0.53	-0.19	-0.90	-91.442	57.675	8.142	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:495	WT901BLE67(D57986C0DE95)	0.015	0.025	1.006	0.305	-1.465	-0.427	0.52	-0.19	-0.92	-91.442	57.675	8.142	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:525	WT901BLE67(D57986C0DE95)	0.003	0.030	1.000	-0.671	0.610	0.610	0.52	-0.20	-0.90	-91.583	57.550	8.092	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:555	WT901BLE67(D57986C0DE95)	0.012	0.022	1.016	0.427	-1.282	0.000	0.50	-0.21	-0.91	-91.583	57.550	8.092	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
2023-10-20 19:29:15:615	WT901BLE67(D57986C0DE95)	0.019	0.033	1.005	-0.122	0.366	0.610	0.53	-0.22	-0.90	-91.583	57.550	8.092	0.99982	0.01364	-0.00656	-0.00763	28.2	10080.1.3	100
